edep,crystal,slice_sect,num_of_int
61.454,116,5,1
236.498,2,14,1
379.378,2,24,1
264.125,2,23,1
1680.0,157,4,3
80.0,59,0,1
16.929,31,14,1
45.961,31,4,2
220.426,31,3,3
350.442,4,10,1
351.887,4,31,1
26.857,4,20,1
150.814,4,21,1
357.85,51,22,1
80.0,60,3,1
297.702,79,11,1
182.298,79,1,1
224.871,70,30,1
641.525,60,44,1
29.274,67,20,1
392.791,67,30,3
57.935,66,20,1
100.409,67,30,1
1188.6820000000002,77,0,7
80.0,111,1,1
248.618,133,1,1
189.461,159,14,3
880.0,48,2,4
58.279,65,15,1
48.881,65,25,2
109.257,65,35,1
80.0,123,5,1
154.238,20,15,1
3.589,18,11,1
280.526,18,21,1
80.0,123,3,1
90.713,86,33,1
389.28700000000003,134,41,2
199.30200000000002,144,3,2
1492.461,82,32,2
187.539,82,42,1
80.0,87,4,1
480.0,153,1,3
40.199,65,32,1
703.197,42,3,1
124.989,42,13,1
346.81800000000004,42,23,3
1299.273,25,10,3
19.033,25,4,1
361.693,25,3,4
80.0,102,4,3
480.0,51,15,4
50.116,160,25,1
544.366,160,35,1
285.518,160,20,1
1025.144,73,41,1
254.856,72,35,2
480.0,81,1,2
153.071,105,4,1
1367.884,58,11,1
141.964,57,0,1
170.153,57,10,2
80.0,47,1,1
480.0,74,22,3
178.092,58,1,1
196.268,58,21,1
208.212,59,50,1
297.428,59,42,3
484.318,138,13,1
446.677,138,23,1
349.005,138,32,2
480.0,28,1,1
384.1,164,44,1
447.876,14,12,1
832.124,44,43,2
183.893,152,3,1
348.517,151,14,1
531.4830000000001,153,52,4
163.791,39,23,1
126.592,39,44,1
821.013,100,11,1
421.924,100,12,2
80.0,139,4,1
951.163,102,15,1
57.993,102,13,1
234.235,102,22,2
36.61,102,23,1
184.15,102,22,1
993.204,117,55,1
80.0,19,3,1
66.634,64,31,1
413.366,64,41,2
71.007,144,31,1
159.271,79,0,1
197.38199999999998,79,1,2
1418.735,69,2,1
252.298,23,0,1
80.0,64,4,1
160.836,63,35,1
144.171,66,43,2
174.993,60,24,3
54.133,100,30,1
139.545,100,40,1
1414.552,6,55,1
112.233,6,54,1
80.0,29,5,1
263.179,89,23,1
216.821,89,13,1
880.0,12,14,1
1003.858,92,3,2
12.606,125,2,1
263.536,77,12,1
1304.064,71,32,1
375.936,71,35,5
333.42900000000003,93,21,2
146.57,93,11,1
767.096,87,40,1
80.0,9,0,1
283.572,31,2,1
69.52,12,11,1
126.908,12,1,3
184.645,93,11,2
73.986,93,21,1
590.204,115,1,1
310.83,111,33,1
143.332,111,42,1
235.634,112,30,1
179.779,120,52,1
92.091,124,42,1
157.187,124,52,1
50.47,64,20,1
703.198,64,30,3
126.332,64,35,2
80.0,108,3,1
292.756,143,10,1
187.244,143,0,1
1043.832,156,24,2
37.102,156,14,1
199.066,123,5,1
80.0,137,4,1
170.73600000000002,32,10,2
136.997,41,4,1
862.694,41,24,1
250.946,41,34,1
306.026,41,45,2
123.338,41,44,3
80.0,36,2,1
295.132,40,20,1
184.86800000000002,40,10,2
302.86100000000005,77,14,2
42.209,73,22,1
133.5,73,12,1
135.013,85,1,2
966.7080000000001,136,23,2
85.713,136,34,1
532.175,152,32,1
80.0,134,4,1
241.447,64,2,1
118.762,66,1,2
119.792,66,2,1
386.358,36,32,1
169.714,39,55,2
592.884,158,22,2
80.0,162,1,1
336.355,132,5,3
826.981,37,31,2
318.994,37,41,1
62.966,37,31,1
134.025,37,42,1
336.121,75,4,1
355.822,75,11,1
23.023,75,2,1
165.034,75,3,1
339.867,44,12,1
292.527,44,55,1
1233.317,160,0,1
3.381,160,11,1
254.059,162,45,1
14.284,162,30,1
55.524,162,31,1
31.181,162,40,1
88.254,162,41,1
80.0,144,0,1
96.103,120,13,1
50.010999999999996,123,14,2
66.83500000000001,123,24,2
80.0,126,4,1
128.822,30,25,3
97.717,30,35,1
62.24,31,41,1
191.221,31,40,2
287.531,62,2,1
311.254,60,21,2
14.833,60,11,1
112.955,60,1,1
848.619,52,32,2
26.855,52,41,1
911.862,104,0,1
240.345,104,15,1
293.84,102,50,1
55.238,102,40,1
178.715,102,51,1
80.0,95,3,1
1486.31,23,12,3
42.134,23,3,1
151.556,47,2,1
73.451,160,3,1
27.192,31,50,1
1324.916,139,41,1
355.084,138,45,1
73.115,130,22,1
151.585,148,12,1
471.372,148,21,1
63.936,148,14,1
193.107,148,24,3
480.043,15,4,1
525.478,15,14,1
274.479,15,15,1
1389.6009999999999,32,34,2
147.527,30,51,1
80.0,39,2,1
533.044,148,24,2
708.3800000000001,151,32,2
571.62,151,42,3
80.0,129,2,2
358.241,112,10,2
121.759,111,25,1
721.443,140,20,2
158.557,140,21,1
311.076,161,0,2
168.924,161,10,1
398.114,140,3,1
62.006,142,45,1
1280.0,125,3,3
589.289,93,0,1
98.493,94,20,1
348.88000000000005,94,11,6
80.0,71,1,1
351.187,158,4,2
33.609,158,12,1
95.205,158,13,1
622.821,115,3,1
80.0,54,0,1
89.576,74,12,1
64.969,74,41,1
217.366,157,22,1
1062.634,157,32,4
1425.509,39,35,1
205.232,67,0,1
65.469,103,1,1
256.156,57,0,2
15.115,57,1,1
186.40800000000002,59,15,2
272.185,94,44,1
399.781,94,54,1
78.904,163,53,1
127.34,163,43,1
1090.099,102,33,1
290.638,105,53,1
80.0,3,0,1
480.0,87,23,1
331.672,5,2,2
1035.876,134,31,1
73.67,134,20,2
10.059,134,25,1
160.39600000000002,132,21,2
1434.668,129,22,1
10.321,129,12,1
235.011,107,3,1
80.0,20,3,1
32.956,25,1,1
75.922,25,11,1
249.44199999999998,25,21,3
121.68,24,35,1
80.0,23,4,1
880.0,160,45,2
97.732,57,14,1
84.233,57,34,1
132.031,57,23,2
80.0,90,5,1
121.50399999999999,60,55,3
293.651,158,35,5
156.966,156,31,1
139.45100000000002,158,35,4
29.383,156,41,1
73.717,158,35,1
817.986,68,12,1
642.285,115,55,1
219.72899999999998,68,43,2
61.146,46,5,1
56.617,8,22,1
399.579,29,42,1
226.463,98,54,1
1101.517,163,41,1
178.483,163,31,1
910.631,112,33,1
123.714,112,43,1
310.437,112,42,2
199.108,55,2,1
94.963,54,24,1
60.288,21,14,1
125.641,21,13,1
642.855,82,25,1
111.098,82,14,1
